coorte,crediti_totali,crediti_con_voto,voto_medio,ASD,data_ASD,ARC,data_ARC,PRG,data_PRG,ANI,data_ANI,MDL,data_MDL,INGLESE,data_INGLESE,TEST
2012,12,12,20,0,0000-00-00,0,0000-00-00,0,0000-00-00,20,2013-07-18,0,0000-00-00,0,0000-00-00,13
2012,57,57,24,23,2013-06-21,20,2013-07-24,30,2013-07-18,26,2013-06-27,22,2013-09-11,0,0000-00-00,17
2012,36,33,28,29,2013-07-11,0,0000-00-00,0,0000-00-00,28,2013-07-18,26,2013-09-11,0,2013-06-10,13
2012,48,45,25,26,2013-07-11,0,0000-00-00,27,2013-07-18,30,2013-07-18,18,2013-09-10,0,2013-04-23,16
2012,60,57,30,30,2013-06-20,30,2013-06-12,30,2013-06-20,31,2013-06-27,31,2013-06-12,0,2013-05-09,24
2012,36,36,28,30,2013-07-11,0,0000-00-00,30,2013-07-18,23,2013-07-18,0,0000-00-00,0,0000-00-00,15
2012,24,24,26,22,2013-09-19,0,0000-00-00,30,2013-07-31,0,0000-00-00,0,0000-00-00,0,0000-00-00,16
2012,51,48,26,26,2013-07-26,24,2013-06-12,29,2013-07-18,24,2013-06-27,0,0000-00-00,0,2013-03-06,15
2012,33,33,23,25,2013-09-19,0,0000-00-00,0,0000-00-00,24,2013-06-27,20,2013-07-30,0,2013-12-02,9
2012,24,21,28,0,0000-00-00,0,0000-00-00,0,0000-00-00,30,2013-07-18,25,2013-06-12,0,2013-06-05,13
2012,60,57,25,30,2013-07-11,26,2013-09-19,20,2013-06-20,24,2013-06-27,24,2013-07-30,0,2013-05-14,12
2012,12,12,24,0,0000-00-00,0,0000-00-00,0,0000-00-00,24,2013-09-19,0,0000-00-00,0,0000-00-00,21
2012,27,24,25,24,2013-09-19,0,0000-00-00,25,2013-09-23,0,0000-00-00,0,0000-00-00,0,2013-02-05,14
2012,36,36,23,25,2013-07-11,21,2013-07-24,23,2013-06-20,0,0000-00-00,0,0000-00-00,0,0000-00-00,10
2012,36,36,22,26,2013-07-11,0,0000-00-00,18,2013-07-18,22,2013-07-18,0,0000-00-00,0,0000-00-00,13
2012,48,45,27,30,2013-06-21,25,2013-07-08,30,2013-07-18,0,0000-00-00,21,2013-06-12,0,2013-04-16,11
2012,36,36,25,25,2013-07-11,0,0000-00-00,21,2013-07-18,30,2013-06-27,0,0000-00-00,0,0000-00-00,16
2012,36,33,28,30,2013-09-19,0,0000-00-00,0,0000-00-00,31,2013-07-18,23,2013-07-03,0,2013-12-02,18
2012,24,24,23,25,2013-09-19,0,0000-00-00,0,0000-00-00,20,2013-09-05,0,0000-00-00,0,0000-00-00,13
2012,27,24,27,25,2013-09-19,0,0000-00-00,29,2013-09-23,0,0000-00-00,0,0000-00-00,0,2013-05-14,13
2012,39,36,28,30,2013-06-21,26,2013-07-08,27,2013-06-20,0,0000-00-00,0,0000-00-00,0,2013-04-16,13
2012,21,21,21,0,0000-00-00,0,0000-00-00,0,0000-00-00,23,2013-06-27,19,2013-09-12,0,0000-00-00,18
2012,36,36,24,24,2013-09-19,0,0000-00-00,24,2013-07-31,24,2013-09-05,0,0000-00-00,0,0000-00-00,16
2012,36,36,25,27,2013-07-26,0,0000-00-00,27,2013-07-31,22,2013-09-19,0,0000-00-00,0,0000-00-00,10
2012,36,36,26,26,2013-09-19,0,0000-00-00,28,2013-09-23,25,2013-07-18,0,0000-00-00,0,0000-00-00,17
2012,60,57,26,25,2013-06-21,27,2013-09-19,26,2013-06-20,27,2013-07-18,24,2013-07-31,0,2013-10-29,16
2012,48,45,27,30,2013-07-11,0,0000-00-00,22,2013-07-18,28,2013-06-27,27,2013-07-30,0,2013-05-06,15
2012,39,36,22,20,2013-09-19,0,0000-00-00,26,2013-09-23,20,2013-07-18,0,0000-00-00,0,2013-05-14,8
