Instance_number,coorte,crediti_totali,crediti_con_voto,voto_medio,ASD,data_ASD,ARC,data_ARC,PRG,data_PRG,ANI,data_ANI,MDL,data_MDL,INGLESE,data_INGLESE,TEST,Cluster
0.260317,0.4,0.555556,0.588235,1,0.967742,2013-07-26,0,0000-00-00,1,2013-07-18,1,2013-06-27,0,0000-00-00,0,0000-00-00,0.48,2
0.263492,0.4,0.388889,0.352941,0.461538,0.903226,2013-07-26,0,0000-00-00,0,0000-00-00,0.645161,2013-07-18,0,0000-00-00,0,2013-03-26,0.44,1
0.266667,0.4,1,1,0.923077,1,2013-07-26,0.903226,2013-06-12,1,2013-07-31,0.967742,2013-09-05,0.967742,2013-07-03,0,2013-03-05,0.76,0
0.269841,0.4,0.388889,0.352941,0.384615,0.580645,2013-07-11,0,0000-00-00,0.870968,2013-09-23,0,0000-00-00,0,0000-00-00,0,2013-04-09,0.48,2
0.273016,0.4,0.111111,0.117647,0.153846,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.645161,2013-07-18,0,0000-00-00,0,0000-00-00,0.52,1
0.27619,0.4,0.944444,1,0.461538,0.741935,2013-06-21,0.645161,2013-07-24,0.967742,2013-07-18,0.83871,2013-06-27,0.709677,2013-09-11,0,0000-00-00,0.68,0
0.279365,0.4,0.555556,0.529412,0.769231,0.935484,2013-07-11,0,0000-00-00,0,0000-00-00,0.903226,2013-07-18,0.83871,2013-09-11,0,2013-06-10,0.52,1
0.28254,0.4,0.777778,0.764706,0.538462,0.83871,2013-07-11,0,0000-00-00,0.870968,2013-07-18,0.967742,2013-07-18,0.580645,2013-09-10,0,2013-04-23,0.64,2
0.285714,0.4,1,1,0.923077,0.967742,2013-06-20,0.967742,2013-06-12,0.967742,2013-06-20,1,2013-06-27,1,2013-06-12,0,2013-05-09,0.96,0
0.288889,0.4,0.555556,0.588235,0.769231,0.967742,2013-07-11,0,0000-00-00,0.967742,2013-07-18,0.741935,2013-07-18,0,0000-00-00,0,0000-00-00,0.6,2
0.292063,0.4,0.333333,0.352941,0.615385,0.709677,2013-09-19,0,0000-00-00,0.967742,2013-07-31,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.64,2
0.295238,0.4,0.833333,0.823529,0.615385,0.83871,2013-07-26,0.774194,2013-06-12,0.935484,2013-07-18,0.774194,2013-06-27,0,0000-00-00,0,2013-03-06,0.6,0
0.298413,0.4,0.5,0.529412,0.384615,0.806452,2013-09-19,0,0000-00-00,0,0000-00-00,0.774194,2013-06-27,0.645161,2013-07-30,0,2013-12-02,0.36,1
0.301587,0.4,0.333333,0.294118,0.769231,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.967742,2013-07-18,0.806452,2013-06-12,0,2013-06-05,0.52,1
0.304762,0.4,1,1,0.538462,0.967742,2013-07-11,0.83871,2013-09-19,0.645161,2013-06-20,0.774194,2013-06-27,0.774194,2013-07-30,0,2013-05-14,0.48,0
0.307937,0.4,0.111111,0.117647,0.461538,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.774194,2013-09-19,0,0000-00-00,0,0000-00-00,0.84,1
0.311111,0.4,0.388889,0.352941,0.538462,0.774194,2013-09-19,0,0000-00-00,0.806452,2013-09-23,0,0000-00-00,0,0000-00-00,0,2013-02-05,0.56,2
0.314286,0.4,0.555556,0.588235,0.384615,0.806452,2013-07-11,0.677419,2013-07-24,0.741935,2013-06-20,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.4,0
0.31746,0.4,0.555556,0.588235,0.307692,0.83871,2013-07-11,0,0000-00-00,0.580645,2013-07-18,0.709677,2013-07-18,0,0000-00-00,0,0000-00-00,0.52,2
0.320635,0.4,0.777778,0.764706,0.692308,0.967742,2013-06-21,0.806452,2013-07-08,0.967742,2013-07-18,0,0000-00-00,0.677419,2013-06-12,0,2013-04-16,0.44,0
0.32381,0.4,0.555556,0.588235,0.538462,0.806452,2013-07-11,0,0000-00-00,0.677419,2013-07-18,0.967742,2013-06-27,0,0000-00-00,0,0000-00-00,0.64,2
0.326984,0.4,0.555556,0.529412,0.769231,0.967742,2013-09-19,0,0000-00-00,0,0000-00-00,1,2013-07-18,0.741935,2013-07-03,0,2013-12-02,0.72,1
0.330159,0.4,0.333333,0.352941,0.384615,0.806452,2013-09-19,0,0000-00-00,0,0000-00-00,0.645161,2013-09-05,0,0000-00-00,0,0000-00-00,0.52,1
0.333333,0.4,0.388889,0.352941,0.692308,0.806452,2013-09-19,0,0000-00-00,0.935484,2013-09-23,0,0000-00-00,0,0000-00-00,0,2013-05-14,0.52,2
0.336508,0.4,0.611111,0.588235,0.769231,0.967742,2013-06-21,0.83871,2013-07-08,0.870968,2013-06-20,0,0000-00-00,0,0000-00-00,0,2013-04-16,0.52,0
0.339683,0.4,0.277778,0.294118,0.230769,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.741935,2013-06-27,0.612903,2013-09-12,0,0000-00-00,0.72,1
0.342857,0.4,0.555556,0.588235,0.461538,0.774194,2013-09-19,0,0000-00-00,0.774194,2013-07-31,0.774194,2013-09-05,0,0000-00-00,0,0000-00-00,0.64,2
